page_id,candidate_id,doc_id,page_idx,page_label,figure_family,difficulty,classification_confidence,overlay_path,page_dir,shortlist_reason
jm_0001,c_0009,01_1710_02167v1,8,1710_02167v1#page_8,compound_multi_panel,control,0.6,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_008/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_008,"accepted_into_('route_map_or_flow', 'control')"
jm_0002,c_0018,02_2101_09903v2,1,2101_09903v2#page_1,compound_multi_panel,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/02_2101_09903v2/pages/page_001/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/02_2101_09903v2/pages/page_001,"accepted_into_('route_map_or_flow', 'hard')"
jm_0003,c_0019,02_2101_09903v2,2,2101_09903v2#page_2,compound_multi_panel,stress,0.4,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/02_2101_09903v2/pages/page_002/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/02_2101_09903v2/pages/page_002,"accepted_into_('mixed_vector_raster', 'control')"
jm_0004,c_0025,03_2203_11714v1,3,2203_11714v1#page_3,compound_multi_panel,control,0.4,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/03_2203_11714v1/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/03_2203_11714v1/pages/page_003,"accepted_into_('mixed_vector_raster', 'control')"
jm_0005,c_0027,04_2412_19303v1,0,2412_19303v1#page_0,compound_multi_panel,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_000/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_000,"accepted_into_('route_map_or_flow', 'stress')"
jm_0006,c_0031,04_2412_19303v1,4,2412_19303v1#page_4,compound_multi_panel,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_004/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_004,"accepted_into_('mixed_vector_raster', 'control')"
jm_0007,c_0034,04_2412_19303v1,7,2412_19303v1#page_7,compound_multi_panel,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_007/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_007,"accepted_into_('compound_multi_panel', 'control')"
jm_0008,c_0038,04_2412_19303v1,11,2412_19303v1#page_11,compound_multi_panel,stress,0.4,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_011/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_011,"accepted_into_('mixed_vector_raster', 'control')"
jm_0009,c_0039,04_2412_19303v1,12,2412_19303v1#page_12,compound_multi_panel,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_012/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_012,"accepted_into_('compound_multi_panel', 'stress')"
jm_0010,c_0043,05_2503_05524v1,3,2503_05524v1#page_3,compound_multi_panel,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_003,"accepted_into_('compound_multi_panel', 'stress')"
jm_0011,c_0049,05_2503_05524v1,9,2503_05524v1#page_9,compound_multi_panel,hard,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_009/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/05_2503_05524v1/pages/page_009,"accepted_into_('vector_dominant', 'stress')"
jm_0012,c_0069,06_2506_18900v1,15,2506_18900v1#page_15,compound_multi_panel,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/06_2506_18900v1/pages/page_015/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/06_2506_18900v1/pages/page_015,"accepted_into_('compound_multi_panel', 'control')"
jm_0013,c_0130,09_1604_06646v1,11,1604_06646v1#page_11,compound_multi_panel,hard,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_011/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_011,"accepted_into_('vector_dominant', 'stress')"
jm_0014,c_0136,10_2010_09525v1,3,2010_09525v1#page_3,compound_multi_panel,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/10_2010_09525v1/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/10_2010_09525v1/pages/page_003,"accepted_into_('compound_multi_panel', 'stress')"
jm_0015,c_0137,10_2010_09525v1,4,2010_09525v1#page_4,compound_multi_panel,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/10_2010_09525v1/pages/page_004/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/10_2010_09525v1/pages/page_004,"accepted_into_('route_map_or_flow', 'stress')"
jm_0016,c_0138,10_2010_09525v1,5,2010_09525v1#page_5,compound_multi_panel,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/10_2010_09525v1/pages/page_005/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/10_2010_09525v1/pages/page_005,"accepted_into_('compound_multi_panel', 'stress')"
jm_0017,c_0141,10_2010_09525v1,8,2010_09525v1#page_8,compound_multi_panel,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/10_2010_09525v1/pages/page_008/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/10_2010_09525v1/pages/page_008,"accepted_into_('compound_multi_panel', 'stress')"
jm_0018,c_0155,11_2312_00784v2,12,2312_00784v2#page_12,compound_multi_panel,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/11_2312_00784v2/pages/page_012/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/11_2312_00784v2/pages/page_012,"accepted_into_('compound_multi_panel', 'stress')"
jm_0019,c_0002,01_1710_02167v1,1,1710_02167v1#page_1,route_map_or_flow,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_001/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_001,"accepted_into_('compound_multi_panel', 'control')"
jm_0020,c_0003,01_1710_02167v1,2,1710_02167v1#page_2,route_map_or_flow,hard,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_002/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_002,"accepted_into_('vector_dominant', 'hard')"
jm_0021,c_0007,01_1710_02167v1,6,1710_02167v1#page_6,route_map_or_flow,stress,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_006/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_006,"accepted_into_('compound_multi_panel', 'control')"
jm_0022,c_0030,04_2412_19303v1,3,2412_19303v1#page_3,route_map_or_flow,stress,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/04_2412_19303v1/pages/page_003,"accepted_into_('vector_dominant', 'stress')"
jm_0023,c_0061,06_2506_18900v1,7,2506_18900v1#page_7,route_map_or_flow,control,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/06_2506_18900v1/pages/page_007/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/06_2506_18900v1/pages/page_007,"accepted_into_('vector_dominant', 'control')"
jm_0024,c_0083,08_2603_25804v1,1,2603_25804v1#page_1,route_map_or_flow,stress,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/08_2603_25804v1/pages/page_001/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/08_2603_25804v1/pages/page_001,"accepted_into_('compound_multi_panel', 'hard')"
jm_0025,c_0085,08_2603_25804v1,3,2603_25804v1#page_3,route_map_or_flow,stress,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/08_2603_25804v1/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/08_2603_25804v1/pages/page_003,"accepted_into_('vector_dominant', 'control')"
jm_0026,c_0119,09_1604_06646v1,0,1604_06646v1#page_0,route_map_or_flow,stress,0.6,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_000/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_000,"accepted_into_('route_map_or_flow', 'control')"
jm_0027,c_0120,09_1604_06646v1,1,1604_06646v1#page_1,route_map_or_flow,control,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_001/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_001,"accepted_into_('compound_multi_panel', 'hard')"
jm_0028,c_0121,09_1604_06646v1,2,1604_06646v1#page_2,route_map_or_flow,stress,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_002/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_002,"accepted_into_('vector_dominant', 'control')"
jm_0029,c_0122,09_1604_06646v1,3,1604_06646v1#page_3,route_map_or_flow,control,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/09_1604_06646v1/pages/page_003,"accepted_into_('vector_dominant', 'control')"
jm_0030,c_0163,11_2312_00784v2,20,2312_00784v2#page_20,route_map_or_flow,hard,0.7,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/11_2312_00784v2/pages/page_020/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/11_2312_00784v2/pages/page_020,"accepted_into_('vector_dominant', 'hard')"
jm_0031,c_0220,16_2602_15918v1,4,2602_15918v1#page_4,route_map_or_flow,hard,0.65,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/16_2602_15918v1/pages/page_004/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/16_2602_15918v1/pages/page_004,"accepted_into_('route_map_or_flow', 'stress')"
