candidate_id,doc_id,source_pdf,page_idx,figure_count,mode,figure_family,difficulty,classification_confidence,classification_reason,overlay_path,figures_path,page_dir
c_0001,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,0,0,agfc,unknown,control,0.3,no_figures;page_has_no_figures,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_000/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_000/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_000
c_0002,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,1,1,agfc,route_map_or_flow,control,0.6,raster_single=1;flow_keyword_detected,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_001/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_001/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_001
c_0003,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,2,3,agfc,route_map_or_flow,hard,0.65,raster_multi_panel=0;figs=3;flow_keyword_detected;multi_figure_page=3,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_002/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_002/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_002
c_0004,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,3,1,agfc,mixed_vector_raster,control,0.4,raster_single=2,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_003/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_003/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_003
c_0005,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,4,0,agfc,unknown,control,0.3,no_figures;page_has_no_figures,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_004/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_004/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_004
c_0006,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,5,1,agfc,mixed_vector_raster,control,0.4,raster_single=1,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_005/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_005/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_005
c_0007,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,6,2,agfc,route_map_or_flow,stress,0.65,raster_multi_panel=6;figs=2;flow_keyword_detected;multi_figure_page=2;many_panels=6,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_006/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_006/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_006
c_0008,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,7,1,agfc,mixed_vector_raster,control,0.65,vector=1;raster=9,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_007/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_007/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_007
c_0009,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,8,1,agfc,compound_multi_panel,control,0.65,raster_multi_panel=4;figs=1,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_008/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_008/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_008
c_0010,01_1710_02167v1,data/private/journalmix_v1/source_pdfs/compound_multi_panel/1710_02167v1.pdf,9,1,agfc,mixed_vector_raster,control,0.4,raster_single=8,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_009/overlay.png,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_009/figures.json,artifacts/corpus_runs/20260420_215816_journalmix_v1_arxiv32/docs/01_1710_02167v1/pages/page_009
